Designator,Footprint,Comment,LibRef,Layer,Rotation,Center-X(mm),Center-Y(mm)
"R20","R_0402","R_33R_0402_5%","R_33R_0402_5%","Top","90","36.66","102.676"
"D10","SOT886","D_ESD_PRTR5V0U2F_115","D_ESD_PRTR5V0U2F_115","Top","270","35.65","85.025"
"R22","R_0402","R_10K_0402_5%","R_10K_0402_5%","Top","90","35.636","107.163"
"C25","C_0402","CAP_2.2nF_0402","CAP_2.2nF_0402","Top","0","35.595","100.147"
"C4","C_0402","1U_6V3","CAP_1u_6V3_0402_10%_X6S","Top","270","35.4","68.6"
"C5","C_0402","1U_6V3","CAP_1u_6V3_0402_10%_X6S","Top","270","35.4","69.625"
"B","SW_FSM4JSMA","SW_SPST_6MM","SW_SPST_6MM","Bottom","0","35","74"
"C24","C_0402","CAP_100N_25V_0402_10%_X5R","CAP_100N_25V_0402_10%_X5R","Top","90","34.319","86.893"
"R5","R_0402","R_12K_0402_1%","R_12K_0402_1%","Top","180","34.3","84.75"
"D33","SOT886","D_ESD_PRTR5V0U2F_115","D_ESD_PRTR5V0U2F_115","Top","0","33.916","103.143"
"L1","L_0603","L_FERRITE_600R_400mA","L_FERRITE_600R_400mA","Top","90","33.825","106.1"
"R4","R_0402","R_1K_0402_5%","R_1K_0402_5%","Top","180","33.575","67.05"
"R3","R_0402","R_1K_0402_5%","R_1K_0402_5%","Top","0","33.175","84.75"
"R23","R_0402","R_10K_0402_5%","R_10K_0402_5%","Top","90","32.337","86.868"
"J1","CON_JST_S2B-PH-SM4-TB","CON_JST_2MM_2W_SMD_H","CON_JST_2MM_2W_SMD_H","Top","270","30.675","96.2"
"F4","FIDUCIAL_OV","FIDUCIAL","FIDUCIAL","Bottom","90","30.35","110.4"
"J3","CON_USB_MICRO_AB_MOLEX","CON_USB_MICRO_AB_MOLEX","CON_USB_MICRO_AB_MOLEX","Top","270","29.209","105.266"
"F1","FIDUCIAL_OV","FIDUCIAL","FIDUCIAL","Top","90","27.737","64.287"
